benchmark,original_2q,ours_2q,ours_fid,qiskit_2q,qiskit_fid,guoq_2q,guoq_fid,quartz_2q,quartz_fid,tket_2q,tket_fid,queso_2q,queso_fid
qgan_nativegates_ibm_tket_8,28,28,0.7100639364,28,0.7110628380925441,28,0.7064794953700971,28,0.7110628380925441,28,0.717489168892672,28,0.7064794953700971
qiskit-alu-v0_26,38,27,0.730104628,38,0.644253475469567,30,0.7052912163294454,31,0.6983860638510992,38,0.644253475469567,33,0.681321115799285
radd_250,1405,992,9.8205e-06,1405,8.760888215437564e-08,1073,3.786671099727672e-06,1405,8.24930989951563e-08,1402,8.97273344583858e-08,1348,1.5912320468198356e-07
rd32-v1_68,16,7,0.9209341423,12,0.8703406833517842,9,0.8994422406000144,8,0.9114050969347612,10,0.8896351789358871,7,0.92041643248343
rd32_270,36,18,0.8108180365,36,0.6590915579426955,27,0.7292839914636393,30,0.705687923956693,34,0.6708676244216185,29,0.7126652721159304
rd53_131,200,134,0.2103332299,198,0.1010431512944823,153,0.1677366076737654,195,0.1038946018158567,197,0.1018129335839873,170,0.1378902758509886
rd53_133,256,187,0.1133546722,252,0.0542565058146308,185,0.1161938496873437,248,0.0568164362383804,249,0.0560076557270202,224,0.0741253915111598
rd53_135,134,99,0.3160015634,134,0.2121148371561671,100,0.3126439326344723,128,0.2273025460300848,134,0.2121148371561671,107,0.288410594955939
rd53_138,60,36,0.6566869425,60,0.4991168286864376,40,0.6278048025021072,47,0.5797947253356618,56,0.5226661585884611,44,0.5995183290711044
rd53_251,564,415,0.0079811277,564,0.0014635123188293,399,0.0095839028931505,564,0.0014341837767694,560,0.001524827291584,564,0.0014309615475482
rd73_140,104,66,0.4634160452,104,0.299903490465528,71,0.4377111066540504,91,0.3483802827071295,98,0.3213769855049567,80,0.3945823800896609
rd73_252,2319,1754,1.4e-09,2319,2.230664591256824e-12,1799,8.101758927022773e-10,2319,2.021610300026014e-12,2310,2.4481845519837192e-12,2319,2.021610300026014e-12
z4_268,1343,1047,5.1415e-06,1343,1.7856354528083004e-07,1275,3.703423264325273e-07,1342,1.7128544206788474e-07,1340,1.8272716306765485e-07,1343,1.691322747144224e-07
sf_274,336,241,0.0602543736,336,0.0204268323906242,247,0.0560704796151728,336,0.020226807542614,336,0.0204268323906242,284,0.0366040562873797
pm1_249,771,573,0.0012651815,771,0.0001332321927663,583,0.0011252335344286,771,0.000128884519886,769,0.0001360327312722,717,0.000240159643197
sqrt8_260,1314,988,1.01374e-05,1314,2.4929255544925445e-07,995,9.351639582072145e-06,1314,2.3665726503121995e-07,1313,2.521824452922993e-07,1256,4.6178655168390614e-07
sym6_145,1701,1291,3.021e-07,1701,2.8577450283642867e-09,1266,4.0145844661855356e-07,1701,2.669770999883144e-09,1701,2.8577450283642867e-09,1637,5.579361394483007e-09
